id,condition,prompt,gold,prediction,correct,fluency
1,L1,What is the capital of India?,New Delhi,New Delhi,1,5
2,L1,How many states are in India?,28,28,1,5
3,L1,What is 25% of 200?,50,50,1,5
4,L1,Name the longest river in India,Ganga,Ganga,1,5
5,L1,What year did India gain independence?,1947,1947,1,5
6,L1,Who wrote the Indian national anthem?,Rabindranath Tagore,Rabindranath Tagore,1,5
7,L1,What is the currency of India?,Rupee,Rupee,1,5
8,L1,How many colors are in the Indian flag?,3,3,1,4
9,L1,What is the national bird of India?,Peacock,Peacock,1,5
10,L1,Name India's first Prime Minister,Jawaharlal Nehru,Jawaharlal Nehru,1,5
11,L1,What is the largest state in India?,Rajasthan,Rajasthan,1,5
12,L1,How many official languages does India have?,22,22,1,5
13,L1,What is India's national sport?,Hockey,Hockey,1,4
14,L1,Name the highest mountain peak in India,Kanchenjunga,Kanchenjunga,1,5
15,L1,What is the population of Mumbai?,20 million,20 million,1,4
16,L1,When is Republic Day celebrated?,26 January,26 January,1,5
17,L1,What is the national flower of India?,Lotus,Lotus,1,5
18,L1,How many union territories are in India?,8,8,1,5
19,L1,What is the literacy rate of India?,77%,75%,0,4
20,L1,Name the silicon valley of India,Bangalore,Bangalore,1,5
1,L2,भारत की राजधानी क्या है?,नई दिल्ली,दिल्ली,0,4
2,L2,भारत में कितने राज्य हैं?,28,28,1,4
3,L2,200 का 25% क्या है?,50,50,1,4
4,L2,भारत की सबसे लंबी नदी कौन सी है?,गंगा,गंगा,1,4
5,L2,भारत को स्वतंत्रता कब मिली?,1947,1947,1,4
6,L2,राष्ट्रगान किसने लिखा?,रवींद्रनाथ टैगोर,रवींद्रनाथ ठाकुर,1,3
7,L2,भारत की मुद्रा क्या है?,रुपया,रुपया,1,4
8,L2,तिरंगे में कितने रंग हैं?,3,तीन,1,4
9,L2,राष्ट्रीय पक्षी कौन सा है?,मोर,मोर,1,4
10,L2,पहले प्रधानमंत्री कौन थे?,जवाहरलाल नेहरू,नेहरू जी,1,3
11,L2,सबसे बड़ा राज्य कौन सा है?,राजस्थान,राजस्थान,1,4
12,L2,कितनी आधिकारिक भाषाएं हैं?,22,22,1,3
13,L2,राष्ट्रीय खेल क्या है?,हॉकी,हॉकी,1,4
14,L2,सबसे ऊंची चोटी कौन सी है?,कंचनजंगा,कंचनजंघा,0,3
15,L2,मुंबई की जनसंख्या कितनी है?,2 करोड़,2 करोड़,1,4
16,L2,गणतंत्र दिवस कब है?,26 जनवरी,26 जनवरी,1,4
17,L2,राष्ट्रीय फूल क्या है?,कमल,कमल,1,4
18,L2,कितने केंद्र शासित प्रदेश हैं?,8,आठ,1,4
19,L2,साक्षरता दर क्या है?,77%,75 प्रतिशत,0,3
20,L2,भारत की सिलिकॉन वैली कौन सी है?,बैंगलोर,बेंगलुरु,1,3
1,L3,India ki capital kya hai?,New Delhi,New Delhi,1,4
2,L3,India mein kitne states hain?,28,28 states,1,4
3,L3,200 ka 25% kitna hai?,50,50,1,4
4,L3,Sabse lambi river kaun si hai?,Ganga,Ganga river,1,3
5,L3,Independence kab mili thi?,1947,1947,1,4
6,L3,National anthem kisne likha?,Rabindranath Tagore,Tagore,1,3
7,L3,India ki currency kya hai?,Rupee,Indian Rupee,1,4
8,L3,Flag mein kitne colors hain?,3,teen,1,3
9,L3,National bird kya hai?,Peacock,Mor,0,3
10,L3,First PM kaun the?,Jawaharlal Nehru,Nehru ji,1,3
11,L3,Biggest state kaun sa hai?,Rajasthan,Rajasthan,1,4
12,L3,Kitni official languages hain?,22,22 languages,1,4
13,L3,National sport kya hai?,Hockey,Hockey,1,4
14,L3,Highest peak kaun si hai?,Kanchenjunga,Kanchenjunga,1,3
15,L3,Mumbai ki population kitni hai?,20 million,2 crore,1,3
16,L3,Republic Day kab hai?,26 January,26 Jan,1,4
17,L3,National flower kya hai?,Lotus,Kamal,1,3
18,L3,Kitne union territories hain?,8,8,1,4
19,L3,Literacy rate kya hai?,77%,77 percent,1,4
20,L3,Silicon valley of India?,Bangalore,Bangalore,1,4
1,CS,What is भारत की capital?,New Delhi,New Delhi,1,3
2,CS,भारत में how many states?,28,28,1,3
3,CS,Calculate kitne percent है if 25 out of 100,25%,It is twenty-five percent,0,2
4,CS,Longest नदी in India कौन सी है?,Ganga,The Ganga river,1,3
5,CS,कब मिली independence to India?,1947,1947,1,3
6,CS,Who wrote राष्ट्रगान?,Rabindranath Tagore,Rabindranath Tagore,1,4
7,CS,Currency का नाम kya hai?,Rupee,Rupee,1,3
8,CS,तिरंगे में how many रंग?,3,Three colors,1,3
9,CS,National पक्षी is what?,Peacock,Peacock,1,3
10,CS,पहले PM who थे?,Jawaharlal Nehru,Jawaharlal Nehru,1,4
11,CS,Which है सबसे बड़ा state?,Rajasthan,Rajasthan,1,3
12,CS,Official भाषाएं kitni हैं?,22,22,1,3
13,CS,राष्ट्रीय sport kya है?,Hockey,Hockey,1,4
14,CS,Highest चोटी which है?,Kanchenjunga,Kanchenjunga peak,1,3
15,CS,Mumbai की population क्या है?,20 million,20 million,1,3
16,CS,गणतंत्र Day when है?,26 January,January 26,1,3
17,CS,National फूल what है?,Lotus,Lotus flower,1,3
18,CS,Union territories कितने हैं?,8,8,1,3
19,CS,Literacy दर kya है?,77%,77%,1,3
20,CS,Silicon valley कौन सी city है?,Bangalore,Bangalore,1,2
